GID,starID,RA,DEC,l,b,p,e_p,evpa,e_evpa,FilterID,origin,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo
3941895081321728896,10594,192.79966959473785,19.16146954687489,302.5243183927066,82.03302779468285,,0.0003,,,0,external_panopoulou_2025,65.5848,65.49101,65.69547,65.5635,65.480705,65.6639
3942259878663841152,6847,193.006057216531,20.16965730945409,304.067472565521,83.04011212396769,0.0019,0.0003,73.0,4.5,0,external_panopoulou_2025,134.36191,133.98007,134.84569,134.5277,134.11302,134.9553
3942650755047529856,10456,193.44191807791717,20.65084836193759,307.75259958859533,83.50077827793653,0.0015,0.0002,87.0,4.0,0,external_panopoulou_2025,362.7035,360.02066,365.4604,361.55286,358.10065,365.53204
3942757338955937408,6914,193.32370384330227,21.244858547528302,307.1459067314309,84.10140687830709,0.00012,0.00043,-78.0,60.8,0,external_panopoulou_2025,82.69077,80.63494,84.940834,81.97303,79.94603,84.51828
3942863716706494080,6936,193.6580027429304,21.585081707128797,310.57621819215393,84.40935953396932,0.00129,0.00015,77.1,3.3,0,external_panopoulou_2025,251.64215,246.91733,256.28607,252.08682,247.0869,257.65067
3942930889994910336,10561,196.97861987126907,19.932485395552508,331.474068295895,81.8752488855107,0.0022,0.0002,87.0,3.0,0,external_panopoulou_2025,146.45627,145.9093,146.9152,146.48203,146.02177,146.99951
3942952193032058880,10563,197.4277964710955,20.13398574347265,334.77424353118096,81.85136435876471,0.0019,0.0003,78.0,5.0,0,external_panopoulou_2025,172.27103,171.49384,173.14333,172.37488,171.47107,173.19576
3943094476709294336,10566,198.1143677342611,20.841565792211703,341.40443752567603,82.09216518108533,0.0019,0.0003,83.0,5.0,0,external_panopoulou_2025,115.0786,114.81704,115.30895,115.057236,114.781944,115.2778
3943394845252502144,6911,196.58817276955995,21.153192347741985,333.375601368295,83.12529985142996,0.0002,0.0003,32.0,36.9,0,external_panopoulou_2025,49.185196,49.098133,49.26758,49.16299,49.06884,49.247124
3944129495108278912,10558,195.06468254829204,21.554383742983784,323.21881678862576,84.07551062985509,,0.0002,,,0,external_panopoulou_2025,72.15847,71.99139,72.27605,72.13406,72.025696,72.25861
3944170417556586880,10559,196.264419242409,21.493984909873497,332.4939512738719,83.56877925139723,0.0019,0.0004,-76.0,6.0,0,external_panopoulou_2025,208.35495,207.59059,209.1421,208.60677,207.74998,209.5007
3944504806530617344,10413,195.7475489460168,22.63746328591593,333.8114773093648,84.80140450450762,,0.0003,,,0,external_panopoulou_2025,160.1962,159.42989,161.06906,160.19446,159.27036,160.82335
3944674165681089408,6986,196.59431417449852,22.61599168502199,340.6393029857666,84.35806399054414,0.0008,0.0004,48.0,14.0,0,external_panopoulou_2025,181.3986,176.47852,188.41356,182.51352,175.63908,189.56143
3946262616384600448,6714,186.88771450013172,17.834233148083452,271.0371793706822,79.19624107294256,0.0009,0.00035,9.4,11.0,0,external_panopoulou_2025,235.88173,234.24835,237.62515,235.93207,234.27675,237.26172
3946300240299235712,10467,184.11821766277035,16.028386213575217,265.00242479755724,76.25372184310925,0.0008,0.0002,-87.0,5.0,0,external_panopoulou_2025,247.95612,242.70638,253.78343,248.47908,243.01782,254.4966
3946438125929224320,48772,184.77628126563016,16.547634275964707,265.9945765272666,77.03866396105683,8e-06,6e-06,1.1,6.7,20,external_panopoulou_2025,27.444595,27.425919,27.463839,27.44567,27.42917,27.4619
3946615765776537472,10466,183.80651719697173,16.907490198302867,261.7384320484722,76.78630044141481,0.0013,0.0001,49.0,2.0,0,external_panopoulou_2025,289.19766,287.53006,290.84097,288.73737,286.89014,290.64697
