Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec,gid,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,mu,sigma_d,rel_sigma_d,s_mu
Mark_276,2460461.34036,0.32,0.04,45.97,3.68,-0.011000000000000001,0.043,0.316,0.04,185.66374,18.43422,3947271590102586880,297.73056,295.59634,300.05087,7.369117071423105,2.2272649999999885,0.007480807479084406,0.016244367041734663
Mark_13,2460432.30412,0.81,0.17,9.65,6.37,0.76,0.169,0.266,0.208,174.02271,15.99841,3972526577623362560,300.18857,299.05228,301.66394,7.386970759982104,1.3058300000000145,0.004350032381312901,0.009445975296523274
Mark_222,2460460.36897,0.3,0.05,60.39,4.58,-0.155,0.05,0.261,0.047,193.55878,20.50641,3942636323957434880,307.6024,305.3568,309.3565,7.439948598148437,1.9998499999999808,0.006501412212648474,0.014117637242658214
Mark_131,2460459.41224,0.14,0.05,34.46,10.52,0.051000000000000004,0.055,0.131,0.046,199.4996,21.72981,3940638747552387840,308.85336,306.91077,311.4592,7.4487616518349995,2.274214999999998,0.007363413498237474,0.015989449251282272
Mark_307,2460459.35014,0.3,0.05,56.71,5.04,-0.11900000000000001,0.05,0.27399999999999997,0.052,191.25285,19.86747,3954187758759011584,313.6527,311.43488,316.39462,7.482245152018672,2.479869999999977,0.00790642006269985,0.01716857302419853
Mark_55,2460438.32266,0.52,0.06,52.78,3.5,-0.13899999999999998,0.061,0.49899999999999994,0.063,179.33209,15.55869,3925198550577883776,342.61322,340.51138,345.02783,7.674020582731254,2.25822500000001,0.006591178822580197,0.014312562959420757
Mark_149,2460461.36106,0.22,0.03,55.22,4.49,-0.078,0.047,0.21,0.032,187.94492,18.38639,3947754103909441152,352.74768,350.15677,355.7748,7.737320830537154,2.8090150000000165,0.007963241600908662,0.017291959426685242
Mark_182,2460459.32987,0.16,0.06,24.87,10.8,0.104,0.055999999999999994,0.123,0.055,185.09541,20.1586,3952003647630392960,360.72614,355.74277,365.85733,7.78588807292283,5.057279999999992,0.01401972144297608,0.03044343830252603
Mark_12,2460426.35266,0.39,0.48,12.54,61.44,0.35100000000000003,0.5309999999999999,0.164,0.121,173.47864,16.05583,3972586367863070208,365.00693,362.9022,366.6532,7.811505550120577,1.8755000000000166,0.005138258607857162,0.011157586799921248
Mark_2,2460643.65069,1.0,0.06,84.35,1.74,-0.984,0.058,0.197,0.101,193.98224,21.10127,3942782387205873536,368.199,364.5548,371.90714,7.830413023296909,3.6761700000000133,0.009984193330237217,0.021680400347886368
Mark_212,2460426.39333,0.11,0.13,16.22,61.44,0.093,0.126,0.059000000000000004,0.126,174.04788,16.17833,3972671064618294272,370.91803,368.43222,373.2769,7.84638972257717,2.4223400000000197,0.0065306612353139585,0.014181150688381628
Mark_141,2460460.3276,0.3,0.05,50.75,4.96,-0.06,0.022000000000000002,0.295,0.052,184.92867,18.98709,3950362725309458048,372.1332,369.61053,373.8828,7.8534920874578535,2.136134999999996,0.0057402430097610105,0.012464779319614603
Mark_163,2460426.36879,0.79,0.06,34.52,2.23,0.28400000000000003,0.034,0.741,0.065,172.77328,16.05559,3973325235381575680,379.1181,375.9116,382.5002,7.89387259586568,3.2942999999999927,0.008689376740387738,0.018868741847644296
Mark_281,2460459.37435,0.31,0.1,52.81,9.33,-0.08499999999999999,0.083,0.302,0.097,196.00069,21.20325,3943314791351751296,383.80246,373.4544,394.05066,7.920538770196867,10.298129999999986,0.02683184990528718,0.058264621765612555
Mark_10,2460459.30401,1.38,0.11,63.02,2.37,-0.812,0.075,1.117,0.129,179.84392,15.83708,3925221017550590208,384.43143,377.26996,392.86252,7.924094435533577,7.796279999999996,0.020280027572147252,0.04403752033714676
Mark_92,2460432.36662,0.3,0.06,10.45,6.1,0.281,0.055,0.108,0.098,184.13316,19.0139,3950331427883338752,393.03406,390.78525,396.18134,7.972150937998011,2.698044999999979,0.006864659515768122,0.014906418739213717
Mark_217,2460461.41376,0.3,0.06,48.78,6.13,-0.039,0.034,0.293,0.062,195.918,21.60229,3944093245584375680,398.1753,395.11874,400.85013,8.000371579732539,2.865694999999988,0.007197068728271161,0.015628236172833095
Mark_27,2460829.39093,0.12,0.03,2.14,7.91,0.11800000000000001,0.031,0.009000000000000001,0.03,188.06802,21.52798,3949617982275960576,399.34607,396.07434,403.15488,8.006747074295536,3.5402699999999925,0.008865167998272758,0.019250467713975775
Mark_71,2460459.39899,0.16,0.03,36.16,5.07,0.05,0.06999999999999999,0.156,0.02,198.32007,21.59244,3943577127954092416,399.5704,396.49802,402.8425,8.007966542003917,3.172239999999988,0.007939126621991989,0.01723959441531162
