Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec,gid,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,mu,sigma_d,rel_sigma_d,s_mu
Mark_112,2460459.42239,0.41,0.06,50.02,4.31,-0.07100000000000001,0.076,0.402,0.06,199.77525,20.8951,3940511650880842496,560.7016,554.05084,568.48865,8.743658976944939,7.218905000000007,0.012874771536232475,0.027957211169754078
Mark_3,2460426.4369,0.38,0.12,67.08,9.4,-0.267,0.11900000000000001,0.27499999999999997,0.117,194.76712,21.33237,3942619556405652608,563.96136,548.62494,581.7201,8.756246745859528,16.547579999999982,0.029341691069047677,0.06371467260498664
Mark_30,2460432.37998,0.4,0.09,20.67,6.28,0.302,0.101,0.266,0.06,184.34332,18.37268,3950222885469862912,570.7784,565.52,575.0776,8.782337648611914,4.77879999999999,0.008372426146469434,0.018180492377770908
Mark_230_merged,2460460.37255,0.55,0.05,74.06,2.49,-0.46499999999999997,0.043,0.29,0.058,195.31955,20.94358,3944045137654653056,571.68536,563.687,578.7461,8.785785353649423,7.529549999999972,0.013170793808678208,0.028600015366972292
Mark_41,2460459.31419,0.35,0.09,48.22,8.1,-0.039,0.07100000000000001,0.349,0.095,179.99248,16.91588,3925449788984636800,574.89124,568.8893,580.6577,8.797928455313311,5.884199999999964,0.01023532729425476,0.022225730821842912
Mark_285,2460459.3617,0.3,0.08,53.58,7.9,-0.087,0.101,0.28300000000000003,0.075,193.8681,21.30298,3942841176718145408,576.9151,566.32166,585.42017,8.805559530991564,9.549255000000016,0.01655227086273182,0.03594279949326203
Mark_16,2460426.42582,0.86,0.37,4.44,14.16,0.851,0.375,0.133,0.089,189.71344,20.96878,3955304622055819776,579.3156,572.38574,586.9001,8.814576117402046,7.2571799999999484,0.012527161360750425,0.027202385264427698
Mark_167,2460459.33816,0.3,0.05,47.58,4.85,-0.027,0.063,0.299,0.05,188.16794,18.48618,3947849589622523520,595.7532,588.7078,602.6453,8.875331918865946,6.96875,0.011697377370360747,0.025400532223438212
Mark_36,2460459.36682,0.17,0.06,49.5,11.77,-0.027,0.065,0.167,0.063,194.58836,20.00117,3942382920887888128,597.6975,590.6506,605.2365,8.882407196531004,7.292949999999962,0.01220174084716761,0.026495743597692006
Mark_221_merged,2460460.39272,0.45,0.04,53.82,2.31,-0.136,0.049,0.43,0.034999999999999996,196.43092,21.19197,3943398869631331456,606.43524,594.0097,618.9325,8.913922151220742,12.461400000000026,0.020548607960183887,0.04462073523950548
Mark_183,2460461.36847,0.42,0.05,47.5,3.41,-0.037,0.044000000000000004,0.422,0.05,190.74332,20.88957,3954509297190984448,606.85266,599.53955,614.13794,8.915416299557574,7.299194999999997,0.012027952551118416,0.02611836710772434
Mark_310,2460460.29519,0.88,0.07,30.72,2.15,0.42100000000000004,0.09,0.774,0.056999999999999995,180.15356,15.65528,3925117117997723776,613.1674,593.6347,632.6943,8.937895284267285,19.529800000000023,0.031850682211741886,0.0691628776470678
Mark_290,2460460.36506,0.23,0.06,50.76,7.49,-0.045,0.02,0.22300000000000003,0.058,192.14723,19.79486,3942175078829916800,614.5708,608.2452,621.83606,8.942859609246025,6.79543000000001,0.011057196339298924,0.02401039677739179
