# GID   RA    DEC     l     b     RP
3944093245584375680 195.91800 21.60229 330.33467 83.81222 12.06
3936130956036933504 191.14149 19.10416 291.44439 81.82221 11.47
3926131932870192384 178.69035 16.60255 248.76378 73.18150 11.68
3948889315303517696 185.89706 19.37161 261.98417 79.95101 8.57
3943398869631331456 196.43092 21.19197 332.44635 83.22932 11.08
3942636323957434880 193.55878 20.50641 308.59478 83.34738 11.44
3947155381171521408 184.88745 18.07525 262.20875 78.34073 11.67
3948498743862497280 189.98615 20.27236 281.34321 82.65751 12.24
3943842763091327232 197.23097 22.05471 341.94318 83.55615 12.21
3955331319571297920 190.42174 21.30850 281.51287 83.77062 10.21
3942026404242203904 193.28580 19.58141 305.98755 82.44304 11.96
3954715520045326080 191.25594 21.77990 287.32781 84.45626 11.84
3955002939256422272 193.38081 22.55151 308.94490 85.39889 11.66
3942796165460968064 194.43558 21.12012 316.72535 83.82232 11.94
3944045137654653056 195.31955 20.94358 323.41049 83.42048 12.14
3955198759700866176 192.79524 22.55291 302.18829 85.42428 12.37
3948875193451910272 186.62331 19.53539 264.62378 80.49415 11.43
3950247040365921280 184.23959 18.59977 258.20674 78.35425 8.77
3943515830181208704 198.82893 21.44806 347.96803 82.13702 9.72
3955501881313652096 190.11290 21.79784 277.22335 84.11308 11.45
3955799157473550976 189.40477 22.63134 267.31519 84.51950 12.24
3955586195815147648 189.01572 21.62057 269.67432 83.47492 11.25
3946557044983708544 184.89882 17.43383 264.10858 77.83298 12.38
3942319591594166784 192.86182 20.50454 302.95091 83.37629 12.14
3950456531690771072 184.34970 19.55028 255.28978 79.12253 10.93
3947813748118870016 187.65913 18.56756 272.63907 80.19266 11.67
3943110900664214656 197.93190 20.97835 340.98516 82.30317 11.12
3926048988461803392 178.97321 16.09546 250.68601 73.04354 11.74
3949539745151703808 188.12941 21.10091 266.32262 82.58795 9.55
3925386189108901760 179.55417 16.23754 251.65759 73.54709 9.65
3955109802338162560 191.57536 22.28882 289.10623 85.02208 12.12
3955306271323291904 189.75674 21.01896 277.40532 83.26679 11.64
3972502839339169024 174.27348 15.68174 242.70583 69.29642 10.41
3948570663091085824 187.29474 18.63226 270.69439 80.08083 12.22
3954179512421798272 190.99931 19.70843 289.59608 82.38678 12.27
3952533268637466880 187.36690 21.40331 260.59309 82.39663 12.12
3948154321845099136 191.02480 19.41516 290.23243 82.10534 11.77
3947695310100237312 187.72806 17.88821 274.74541 79.61853 11.83
3955719275377814528 190.04453 22.32329 274.31194 84.55769 10.20
3942295956389068672 192.24844 20.18809 298.19568 83.03735 8.76
3926242743026796032 178.80675 16.90822 248.21251 73.46580 11.13
3949173504700772224 188.25940 19.99869 271.37994 81.71918 12.21
3954372266258599296 191.66212 20.48947 293.31449 83.27160 11.69
3947245682859954560 185.06711 18.59069 261.27760 78.85150 12.38
3942554371686329600 194.29060 20.54089 314.46785 83.28405 12.11
3972673809101621760 173.92517 16.22557 240.90215 69.34345 11.83
3955953707576737408 190.94083 22.93393 280.00646 85.45992 11.91
3943541599984583168 197.93994 21.26627 342.33302 82.52971 11.77
3967385093748323328 172.38141 16.22388 238.60931 68.11628 12.35
3948984560499486208 186.99651 19.93155 264.95898 81.02088 10.81
3956431518394148096 193.88101 22.27974 313.98481 85.06355 10.51
3954173258949458048 191.54379 19.82033 293.28574 82.59332 12.21
3949315513499703296 188.96674 20.68209 273.21727 82.63820 10.95
3947241765849806464 185.14743 18.55286 261.70804 78.86917 12.27
3942692880086747136 193.07767 20.53966 304.71212 83.40839 11.31
3954189369371692928 191.32678 19.91517 291.59274 82.65157 12.39
