Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec,gaia_id,l,b,rp_obslist,match_sep_arcsec,matched,has_coords
Mark_66,2460460.42529,0.52,0.07,62.03,3.91,-0.0029,0.00074,0.00428,0.00068,199.0128,20.92477,3940477535955812224,346.4045,81.63248,12.36,0.0,True,True
Mark_67,2460459.40329,0.41,0.05,46.74,3.9,-0.00025,0.00046,0.00405,0.00055,199.27654,21.0103,3940484888939827072,348.04901,81.53239,12.04,0.0,True,True
Mark_68,2460459.40742,0.2,0.06,31.23,8.96,0.00092,0.00052,0.00176,0.0006,199.40179,21.88462,3943644473041445248,352.95718,82.0699,12.14,0.0,True,True
Mark_69,2460460.40407,0.28,0.06,46.76,6.3,-0.00017,0.00027,0.00283,0.0006,197.53357,20.926,3943153227565962880,338.45342,82.47252,11.57,0.0,True,True
Mark_70,2460459.30005,0.27,0.04,40.5,4.11,0.00042,0.00069,0.00264,0.00037,179.81372,16.97037,3926204363199140352,250.33809,74.22891,11.42,0.0,True,True
Mark_71,2460459.39899,0.16,0.03,36.16,5.07,0.0005,0.0007,0.00156,0.0002,198.32007,21.59244,3943577127954092416,346.03534,82.55984,12.39,0.0,True,True
Mark_72,2460459.35757,0.42,0.05,22.76,3.41,0.00297,0.00052,0.00302,0.00048,192.54263,20.07625,3942279532434147840,300.50927,82.94204,12.15,0.0,True,True
Mark_74,2460459.39503,0.18,0.07,38.76,13.03,0.00039,0.00049,0.00174,0.00073,198.03603,21.6534,3943592108799973120,344.76527,82.77705,11.68,0.0,True,True
Mark_75,2460461.37286,0.27,0.08,40.35,9.45,0.00044,0.00041,0.00269,0.00085,191.89113,20.23809,3954305853179854336,295.39863,83.05311,12.21,0.0,True,True
Mark_76,2460830.35889,0.4,0.1,-32.38,7.56,0.00171,0.00058,-0.00362,0.00108,187.65404,18.06968,3947719022616508288,273.94016,79.74927,12.09,0.0,True,True
Mark_78,2460461.39199,0.16,0.08,19.39,16.0,0.00127,0.00092,0.00102,0.00045,195.46664,21.80978,3944161071707863936,327.52943,84.17672,11.58,0.0,True,True
Mark_79,2460461.35341,0.27,0.04,44.59,4.75,4e-05,0.0005,0.00272,0.00044,187.62355,18.77921,3948575748332376448,271.8631,80.36226,11.77,0.0,True,True
Mark_81,2460830.37877,0.18,0.06,-11.38,9.84,0.00169,0.00062,-0.00071,0.00034,188.01074,18.02063,3947726341240852352,275.78202,79.85463,10.64,0.0,True,True
Mark_83,2460460.30471,0.39,0.06,36.56,4.51,0.00114,0.001,0.00374,0.00056,184.34114,19.05303,3950335344893535616,257.04,78.75563,11.74,0.0,True,True
Mark_84,2460460.31873,0.28,0.02,57.82,2.5,-0.00122,0.00039,0.00253,0.00019,184.5835,19.01308,3950288031533824896,258.0549,78.87952,9.2,0.0,True,True
Mark_85,2460426.36178,0.33,0.08,43.7,6.76,0.00015,0.00074,0.00333,0.00076,174.02637,15.67919,3972500189344296960,242.31313,69.10364,11.49,0.0,True,True
Mark_86,2460830.39351,0.12,0.05,-7.06,13.26,0.00119,0.00051,-0.0003,0.00042,191.77885,20.02359,3954204972987975424,294.77398,82.82677,11.6,0.0,True,True
Mark_89,2460438.38881,0.29,0.1,39.31,11.29,0.00057,0.00103,0.00285,0.00104,185.9707,19.05754,3947332990955068928,263.38214,79.74423,12.25,0.0,True,True
Mark_92,2460432.36662,0.3,0.06,10.45,6.1,0.00281,0.00055,0.00108,0.00098,184.13316,19.0139,3950331427883338752,256.44076,78.59334,12.39,0.0,True,True
Mark_95,2460432.31264,0.29,0.08,30.58,8.12,0.00139,0.00045,0.00253,0.00085,174.23676,16.17048,3972629077018036864,241.52279,69.55582,11.98,0.0,True,True
Mark_96,2460460.41568,0.45,0.04,59.83,2.28,-0.00224,0.00048,0.00393,0.00031,198.50754,21.06732,3943476728798598016,344.51014,82.04549,11.06,0.0,True,True
Mark_99,2460426.36532,0.08,0.09,-6.14,61.44,0.00074,0.0009,-0.00016,0.0006,173.92136,15.51353,3972496237974103552,242.5174,68.92385,11.83,0.0,True,True
Mark_104,2460460.3814,0.28,0.03,52.3,3.36,-0.00071,0.00063,0.00272,0.0003,195.82549,20.35185,3941704659652114432,325.38003,82.70088,10.75,0.0,True,True
Mark_105,2460459.35372,0.26,0.06,40.42,6.91,0.00042,0.00039,0.00259,0.00061,191.74118,21.92971,3955085200765500416,291.62247,84.70295,10.82,0.0,True,True
Mark_106,2460461.38732,0.31,0.08,35.26,7.72,0.00103,0.00045,0.00291,0.00083,194.83186,22.69265,3944543873553057792,325.31893,85.21753,12.41,0.0,True,True
Mark_110,2460438.38383,0.43,0.08,46.26,5.6,-0.00019,0.00077,0.00429,0.00082,185.77832,18.27509,3947078655875746432,265.07498,79.00386,12.36,0.0,True,True
Mark_112,2460459.42239,0.41,0.06,50.02,4.31,-0.00071,0.00076,0.00402,0.0006,199.77525,20.8951,3940511650880842496,349.7756,81.12928,11.36,0.0,True,True
Mark_116,2460459.32306,0.31,0.04,28.12,3.73,0.0017,0.0005,0.00255,0.00033,184.40889,19.57923,3950456909647893888,255.39491,79.18217,12.33,0.0,True,True
