#GID   RA    DEC     l     b     RP
3943831488800000000  197.29187  22.08395  342.50033  83.54504  11.66
3943842763090000000  197.23097  22.05471  341.94318  83.55615  12.21
3943853792570000000  197.69109  22.13874  345.32121  83.35454  11.77
3944029027230000000  195.46564  20.83091  324.18837  83.26817  10.60
3944041912140000000  195.53589  21.06934  325.45289  83.46775  12.28
3944043939360000000  195.58273  21.12472  325.99120  83.50306  12.43
3944045137650000000  195.31955  20.94358  323.41049  83.42048  12.14
3944050639510000000  195.19397  21.06210  322.77679  83.57094  12.41
3944050978810000000  195.15977  21.08917  322.58442  83.60685  11.33
3944053800600000000  195.48070  21.07923  325.06160  83.49562  11.72
3944061595970000000  195.45090  21.29294  325.52561  83.70484  12.22
3944078333460000000  195.97377  21.42920  330.06729  83.63390  11.43
3944082525350000000  195.76767  21.34262  328.16823  83.63634  12.25
3944093245580000000  195.91800  21.60229  330.33467  83.81222  12.06
3944094070220000000  195.80765  21.54525  329.24799  83.80516  12.02
3944097265670000000  195.80553  21.63836  329.60229  83.89019  11.31
3944098326530000000  195.18161  21.12106  322.85052  83.63045  11.23
3944098395250000000  195.16597  21.13651  322.77119  83.64980  10.93
3944101869880000000  195.18698  21.25626  323.29813  83.75649  11.39
3944105683810000000  195.09253  21.31154  322.69625  83.83757  12.45
3944108295150000000  195.29697  21.33132  324.42258  83.79209  10.72
