#GID   RA    DEC     l     b     RP
3944294078250000000  196.11522  22.33433  335.29638  84.36817  12.05
3942478990720000000  194.04025  20.68945  312.69387  83.47149  10.09
3941904839490000000  192.37547  19.17618  299.63084  82.03552  9.19
3949485422410000000  187.63763  20.83488  264.66940  82.10502  10.88
3946239011250000000  186.71805  17.77064  270.46223  79.06067  12.41
3948434113190000000  190.20955  20.08116  283.37366  82.54709  10.87
3925376701530000000  180.18828  16.48499  252.53790  74.15659  12.20
3955025174300000000  191.85338  21.68842  293.15999  84.48365  12.07
3955093721980000000  191.45384  21.93940  288.79058  84.65608  12.23
3954171815840000000  191.48672  19.74513  292.97031  82.51045  12.28
3947651952410000000  189.19588  18.25968  281.33465  80.51104  10.23
3954250151750000000  190.71889  20.04255  287.01622  82.64827  12.04
3948468786470000000  189.43100  20.04489  278.30345  82.25233  12.33
3943288952830000000  196.18765  20.80084  329.29799  82.98073  12.34
3949601107350000000  188.12033  21.38384  264.98020  82.81388  12.30
3955014350990000000  192.17618  21.61724  296.34465  84.45399  10.16
3947878795400000000  188.98668  18.93054  278.64819  81.06292  12.34
3942257198600000000  192.85049  20.12852  302.86271  83.00026  12.34
3944161071710000000  195.46664  21.80978  327.52943  84.17672  11.58
3950444952460000000  184.67949  19.45318  256.84852  79.26634  12.19
3948261494170000000  189.46504  19.17622  280.81220  81.45885  12.09
3943853792570000000  197.69109  22.13874  345.32121  83.35454  11.77
3942456038410000000  194.36407  20.43414  314.86541  83.16601  9.54
3940627000820000000  199.90260  21.71785  354.28367  81.61315  11.17
3943645881790000000  199.21909  21.83705  351.85812  82.16094  9.91
3955109802340000000  191.57536  22.28882  289.10623  85.02208  12.12
3954755106760000000  192.57784  21.21889  300.38336  84.08507  10.03
3951981446940000000  185.37488  19.89981  257.85953  80.03788  12.37
3944043939360000000  195.58273  21.12472  325.99120  83.50306  12.43
3949210441420000000  188.61853  20.40947  272.03627  82.24258  12.46
3944288168380000000  196.23344  22.34558  336.30232  84.32066  10.51
3941998710290000000  193.30322  19.49583  306.07849  82.35673  11.12
3944082525350000000  195.76767  21.34262  328.16823  83.63634  12.25
3942160544660000000  191.61769  19.66367  293.99760  82.44911  12.14
3949515899490000000  187.72269  21.34824  262.82456  82.56255  10.02
3956133958760000000  190.67967  22.85011  277.67480  85.28799  11.64
3949845306310000000  184.08826  18.21571  258.90654  77.97018  11.91
3940566768200000000  199.82542  21.37063  352.21976  81.43108  12.02
3955244011480000000  192.25308  22.78263  295.59174  85.61977  11.04
3972526577620000000  174.02271  15.99841  241.58019  69.28842  11.78
3955246897690000000  192.22490  22.77979  295.25916  85.61367  10.80
3951993163610000000  185.38022  20.11335  257.04076  80.19876  11.65
3950308441220000000  183.73212  18.74533  255.98144  78.13776  12.20
3950446189410000000  184.65352  19.52530  256.48763  79.30238  11.94
3954204972990000000  191.77885  20.02359  294.77398  82.82677  11.60
3954660617480000000  190.94539  21.30759  285.83641  83.92356  11.68
3954550288360000000  190.69078  20.87979  284.88819  83.44546  10.73
3944543873550000000  194.83186  22.69265  325.31893  85.21753  12.41
3954432468820000000  191.73601  21.15586  292.95691  83.94039  11.66
