#Name   JD    P[%]   sP[%]    PA[deg]  sPA[deg]   q        sq       u        su
Mark_274        2460459.30888   0.44   0.06   84.56    3.87 -0.00428  0.00058  0.00082  0.00065
Mark_275        2460459.31923   0.16   0.07   12.68   14.98  0.00147  0.00072  0.00070  0.00076
Mark_276        2460461.34036   0.32   0.04   45.97    3.68 -0.00011  0.00043  0.00316  0.00040
Mark_277        2460432.33698   0.25   0.07   39.97    8.07  0.00044  0.00092  0.00246  0.00066
Mark_281        2460459.37435   0.31   0.10   52.81    9.33 -0.00085  0.00083  0.00302  0.00097
Mark_282        2460460.36083   0.38   0.09   61.65    6.81 -0.00207  0.00076  0.00315  0.00090
Mark_284        2460459.41745   0.28   0.09   56.06   10.29 -0.00105  0.00152  0.00258  0.00078
Mark_285        2460459.36170   0.30   0.08   53.58    7.90 -0.00087  0.00101  0.00283  0.00075
Mark_289        2460460.39614   0.24   0.09   30.89   12.21  0.00112  0.00081  0.00208  0.00093
Mark_290        2460460.36506   0.23   0.06   50.76    7.49 -0.00045  0.00020  0.00223  0.00058
Mark_294        2460461.32420   0.17   0.08   27.51   15.41  0.00098  0.00117  0.00139  0.00049
Mark_295        2460461.34499   0.30   0.04   49.47    4.03 -0.00047  0.00041  0.00299  0.00042
Mark_297        2460431.51647   0.11   0.09    2.85   61.44  0.00112  0.00093  0.00011  0.00092
Mark_298        2460461.34905   0.25   0.03   35.12    3.55  0.00085  0.00043  0.00238  0.00029
Mark_301        2460459.37111   0.17   0.03   42.11    5.99  0.00017  0.00040  0.00169  0.00035
Mark_302        2460460.35114   0.29   0.09   73.27    9.49 -0.00239  0.00099  0.00158  0.00056
Mark_305        2460438.31873   0.25   0.04  -87.98    5.21 -0.00246  0.00044 -0.00017  0.00047
Mark_307        2460459.35014   0.30   0.05   56.71    5.04 -0.00119  0.00050  0.00274  0.00052
Mark_308        2460431.28536   0.05   0.09  -15.12   61.44  0.00042  0.00102 -0.00024  0.00060
Mark_310        2460460.29519   0.88   0.07   30.72    2.15  0.00421  0.00090  0.00774  0.00057
