#name,ra,dec,filter,utc,exposure,repetitions,free_exp,observed,skipped
Mark_160,189.89764,22.36118,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_161,194.36409,20.68373,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_162,191.30893,20.53182,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_163,172.77328,16.05559,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_164,172.63016,15.81605,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_165,186.35069,20.98270,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_166,172.40683,15.99918,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_167,188.16794,18.48618,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_168,196.41862,21.67955,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_169,193.73550,21.98950,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_170,190.40758,21.16169,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_171,197.54263,22.04166,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_172,189.88481,20.62816,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_173,193.20348,20.71221,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_174,192.85049,20.12852,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_176,186.29753,19.95964,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_177,188.22676,19.65832,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_178,188.46078,20.15240,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_179,191.60573,19.87952,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_180,191.94872,20.27622,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_181,192.40340,20.92901,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_182,185.09541,20.15860,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_183,190.74332,20.88957,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_184,187.15863,18.26370,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_185,189.58362,23.07223,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_186,186.03241,18.86056,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_187,188.88429,18.97851,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_188,172.38278,16.02621,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_189,185.06535,19.83050,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_190,187.04539,21.51586,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_191,179.37923,16.02372,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_192,196.62993,20.90077,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_193,195.53589,21.06934,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_194,188.06032,19.75694,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_195,186.19638,20.19529,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_196,189.27182,22.73961,R,2024-05-16T23:00:00,19,6,False,False,False
Mark_197,191.09033,22.92358,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_198,179.67728,16.81602,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_199,192.21790,22.20572,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_200,179.17484,17.17295,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_201,193.92334,21.84684,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_202,188.29013,18.28759,R,2024-05-16T23:00:00,18,6,False,False,False
Mark_203,188.54651,18.71465,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_204,186.36423,19.17329,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_205,191.34560,21.77153,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_206,199.19226,21.83499,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_207,188.71802,20.24956,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_208,187.40446,20.23767,R,2024-05-16T23:00:00,19,6,False,False,False
Mark_209,192.42535,21.25375,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_210,187.80084,19.27633,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_212,174.04788,16.17833,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_213,188.89774,18.41147,R,2024-05-16T23:00:00,17,6,False,False,False
Mark_214,190.69078,20.87979,R,2024-05-16T23:00:00,8,6,False,False,False
Mark_215,188.88446,20.74661,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_216,185.22177,18.36675,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_217,195.91800,21.60229,R,2024-05-16T23:00:00,14,6,False,False,False
Mark_218,191.14149,19.10416,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_219,178.69035,16.60255,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_220,185.89706,19.37161,R,2024-05-16T23:00:00,6,6,False,False,False
Mark_221,196.43092,21.19197,R,2024-05-16T23:00:00,9,6,False,False,False
Mark_222,193.55878,20.50641,R,2024-05-16T23:00:00,10,6,False,False,False
Mark_223,184.88745,18.07525,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_224,189.98615,20.27236,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_225,197.23097,22.05471,R,2024-05-16T23:00:00,16,6,False,False,False
Mark_226,190.42174,21.30850,R,2024-05-16T23:00:00,7,6,False,False,False
Mark_227,191.25594,21.77990,R,2024-05-16T23:00:00,12,6,False,False,False
Mark_228,193.38081,22.55151,R,2024-05-16T23:00:00,11,6,False,False,False
Mark_229,194.43558,21.12012,R,2024-05-16T23:00:00,13,6,False,False,False
Mark_230,195.31955,20.94358,R,2024-05-16T23:00:00,15,6,False,False,False
Mark_231,192.79524,22.55291,R,2024-05-16T23:00:00,17,6,False,False,False
