Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec
Mark_234,2460460.42097,0.19,0.05,60.18,7.06,-0.00098,0.00052,0.00167,0.00044,198.82893,21.44806
Mark_236,2460459.343,0.2,0.06,15.9,9.61,0.00171,0.00064,0.00106,0.00059,189.40477,22.63134
Mark_238,2460460.32343,0.22,0.1,60.9,15.92,-0.00116,0.00105,0.00187,0.00104,184.89882,17.43383
Mark_240,2460460.31032,0.23,0.04,32.55,5.28,0.00099,0.00044,0.00213,0.00042,184.3497,19.55028
Mark_242,2460459.39128,0.23,0.09,66.86,11.87,-0.00158,0.00079,0.00165,0.00091,197.9319,20.97835
Mark_243,2460438.30622,0.4,0.07,47.89,4.72,-0.00041,0.00086,0.00402,0.00065,178.97321,16.09546
Mark_245,2460438.33731,0.86,0.04,63.61,1.2,-0.00519,0.00033,0.00683,0.00038,179.55417,16.23754
Mark_248,2460432.3248,0.36,0.09,37.5,7.45,0.00094,0.00097,0.00352,0.0009,174.27348,15.68174
Mark_256,2460432.34369,0.51,0.1,55.22,5.88,-0.00177,0.00126,0.00475,0.00098,178.80675,16.90822
Mark_259,2460461.31939,0.51,0.07,52.2,3.96,-0.00127,0.00067,0.00493,0.0007,185.06711,18.59069
Mark_261,2460431.2893,0.2,0.12,-86.42,22.92,-0.00198,0.00121,-0.00025,0.00131,173.92517,16.22557
Mark_263_merged,2460460.40778,0.06,0.03,73.65,14.97,-0.00055,0.0003,0.00035,0.00027,197.93994,21.26627
Mark_264,2460431.27584,0.4,0.14,34.18,10.82,0.00146,0.00054,0.00368,0.00146,172.38141,16.22388
Mark_269,2460460.34099,0.61,0.08,59.32,3.77,-0.00292,0.00046,0.00535,0.00087,185.14743,18.55286
Mark_272,2460461.33587,0.28,0.06,46.3,6.76,-0.00013,0.00071,0.00283,0.00065,185.61534,18.53669
Mark_273,2460432.318,0.25,0.07,43.78,8.03,0.0001,0.00085,0.00245,0.00065,174.25673,15.47786
Mark_274,2460459.30888,0.44,0.06,84.56,3.87,-0.00428,0.00058,0.00082,0.00065,179.92549,17.12649
Mark_275,2460459.31923,0.16,0.07,12.68,14.98,0.00147,0.00072,0.0007,0.00076,184.08626,18.35714
Mark_276,2460461.34036,0.32,0.04,45.97,3.68,-0.00011,0.00043,0.00316,0.0004,185.66374,18.43422
Mark_277,2460432.33698,0.25,0.07,39.97,8.07,0.00044,0.00092,0.00246,0.00066,178.80257,16.72225
Mark_281,2460459.37435,0.31,0.1,52.81,9.33,-0.00085,0.00083,0.00302,0.00097,196.00069,21.20325
Mark_282,2460460.36083,0.38,0.09,61.65,6.81,-0.00207,0.00076,0.00315,0.0009,191.05409,21.70998
Mark_284,2460459.41745,0.28,0.09,56.06,10.29,-0.00105,0.00152,0.00258,0.00078,199.64702,20.95893
Mark_285,2460459.3617,0.3,0.08,53.58,7.9,-0.00087,0.00101,0.00283,0.00075,193.8681,21.30298
Mark_289,2460460.39614,0.24,0.09,30.89,12.21,0.00112,0.00081,0.00208,0.00093,196.73454,21.68843
Mark_290,2460460.36506,0.23,0.06,50.76,7.49,-0.00045,0.0002,0.00223,0.00058,192.14723,19.79486
Mark_294,2460461.3242,0.17,0.08,27.51,15.41,0.00098,0.00117,0.00139,0.00049,185.26663,19.91669
Mark_295,2460461.34499,0.3,0.04,49.47,4.03,-0.00047,0.00041,0.00299,0.00042,185.76147,19.00018
Mark_297,2460431.51647,0.11,0.09,2.85,61.44,0.00112,0.00093,0.00011,0.00092,199.78589,21.63083
Mark_298,2460461.34905,0.25,0.03,35.12,3.55,0.00085,0.00043,0.00238,0.00029,185.86821,20.17248
Mark_301,2460459.37111,0.17,0.03,42.11,5.99,0.00017,0.0004,0.00169,0.00035,195.3929,21.76202
Mark_302,2460460.35114,0.29,0.09,73.27,9.49,-0.00239,0.00099,0.00158,0.00056,185.33888,19.54846
Mark_305,2460438.31873,0.25,0.04,-87.98,5.21,-0.00246,0.00044,-0.00017,0.00047,179.28236,16.80997
Mark_307,2460459.35014,0.3,0.05,56.71,5.04,-0.00119,0.0005,0.00274,0.00052,191.25285,19.86747
Mark_308,2460431.28536,0.05,0.09,-15.12,61.44,0.00042,0.00102,-0.00024,0.0006,173.14359,16.22173
Mark_310,2460460.29519,0.88,0.07,30.72,2.15,0.00421,0.0009,0.00774,0.00057,180.15356,15.65528
