starID,EDR3_source_id,RA,Dec,Gmag,Nobs,RefID,EDR3_source_id_alt,RA_alt,Dec_alt,Gmag_alt
125,3219194502225549824,86.45524549607957,0.04636463069964351,11.76612,1.0,0.0,3219194502225549824,nan,nan,nan
128,3219117025311040640,86.48551115351609,-0.1823249110483541,14.606234,1.0,0.0,3219117025311040640,nan,nan,nan
130,3219103659372812416,86.59452121146107,-0.25093076410528353,13.600902,1.0,0.0,3219103659372812416,nan,nan,nan
131,3219104380927312384,86.66099086011016,-0.24870633434892628,11.845897,1.0,0.0,3219104380927312384,nan,nan,nan
132,3219128982499082368,86.76058698627834,-0.15784193968285617,13.37582,2.0,0.0,3219128982499082368,nan,nan,nan
133,3219119254397786240,86.58112310964651,-0.08890292185989657,13.773389,1.0,0.0,3219119254397786240,nan,nan,nan
134,3219146712124963328,86.61957871696315,0.0037620068748451217,14.780543,1.0,0.0,3219146712124963328,nan,nan,nan
135,3219144581821168384,86.77903896645442,0.01323003034777766,13.989827,1.0,0.0,3219144581821168384,nan,nan,nan
137,3219130769206350848,86.8371573975485,-0.09585933883945906,13.759936,1.0,0.0,3219130769206350848,nan,nan,nan
138,3219131142867261184,86.90287818142465,-0.06546784415606463,11.744045,1.0,0.0,3219131142867261184,nan,nan,nan
139,3219155302059637120,86.80880161939415,0.15202593577627568,13.203431,1.0,0.0,3219155302059637120,nan,nan,nan
141,3219154133828419712,86.94094555571627,0.17687562902967824,12.627419,1.0,0.0,3219154133828419712,nan,nan,nan
142,3219529204732469248,87.03968797453251,0.21540798708710868,11.967211,1.0,0.0,3219529204732469248,nan,nan,nan
147,3219599637900012800,86.66693420298486,0.5269941402178521,11.532685,1.0,0.0,3219599637900012800,nan,nan,nan
148,3219228106049667456,86.54946910562839,0.5405090514713597,12.999545,1.0,0.0,3219228106049667456,nan,nan,nan
149,3219227938546349056,86.51257508866404,0.5139337534169462,12.630484,1.0,0.0,3219227938546349056,nan,nan,nan
150,3219229136841818368,86.47038011525633,0.5700673548771483,12.499056,1.0,0.0,3219229136841818368,nan,nan,nan
151,3219227113912629632,86.48722141974315,0.46005751585339694,12.212171,1.0,0.0,3219227113912629632,nan,nan,nan
152,3219222986448651520,86.55849207310021,0.40086979285221896,11.686576,1.0,0.0,3219222986448651520,nan,nan,nan
153,3219214744406920960,86.42638776794377,0.28685018032350135,13.140231,1.0,0.0,3219214744406920960,nan,nan,nan
154,121412854238885120,52.361795661044304,31.446466848486995,14.16322,2.0,0.0,121412854237715456,52.361304916144896,31.446676197889,17.028652
155,121412854238659712,52.35803884418105,31.444421226946503,15.053732,1.0,0.0,121412854238659712,nan,nan,nan
156,121406905707934464,52.33243995235641,31.415803700393415,10.32428,1.0,0.0,121406905707934464,nan,nan,nan
