EDR3_source_id,starID,RA,Dec,Gmag,rawstarID,RefID,FilterID,IntrPol,p,e_p,evpa,e_evpa,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo
4687418833163992064,34251,17.023598210380047,-72.66512294877249,16.540812,4002,46,3,0,0.00285,0.00063,-75.6,nan,15957.21,10808.849,23025.46,14567.588,12010.028,18404.959
4687418833213276544,34236,17.017128270563965,-72.66665809184859,16.663965,3987,46,3,0,0.02031,0.00285,85.1,nan,16980.658,12896.383,22522.543,14577.389,12662.129,16107.524
4687418837483308416,34240,17.018091154763376,-72.66744862640103,15.829422,3991,46,3,0,0.00539,0.0001,-67.0,nan,17040.053,12802.735,27482.027,13168.128,11137.909,21434.852
4687418871843046912,34316,17.065801504943252,-72.6692646618257,18.711414,4067,46,3,0,0.02105,0.00025,-67.9,nan,944.3485,788.8938,1234.2559,909.7587,747.3369,1108.913
4687418901883445248,34410,17.113685569152064,-72.66775065874103,18.897938,4161,46,3,0,0.02297,0.00116,-80.2,nan,6617.146,4087.1208,10185.966,4994.7886,3651.6357,7966.0283
4687418901883445632,34418,17.121862399701243,-72.66767666054474,19.078375,4169,46,3,0,0.01007,0.00323,-82.3,nan,4072.3428,3034.2405,5753.4976,4504.0195,3124.2524,6142.7744
4687418901883472896,34353,17.085487195070165,-72.66494230603553,16.756855,4104,46,3,0,0.01098,0.00109,84.8,nan,986.46155,937.97253,1041.6156,948.6352,914.3829,993.7477
4687418906176907904,34440,17.13593610344579,-72.66088736473719,19.059896,4191,46,3,0,0.01513,0.00087,-23.9,nan,7417.9336,4896.92,12765.134,5822.976,4211.4194,7302.5664
4687418906202772480,34414,17.11772658836725,-72.65904484991846,17.35198,4165,46,3,0,0.01176,0.00018,-79.5,nan,1680.7843,1528.9287,1940.3524,1678.3822,1532.4019,1844.1777
4687418906202774656,34391,17.10568773414062,-72.66098438015598,14.526457,4142,46,3,0,0.00753,0.00077,-73.5,nan,21816.77,16971.07,28663.049,26803.89,20938.14,34426.75
4687418906202778240,34395,17.10852468539238,-72.66457163670017,18.57811,4146,46,3,0,0.00959,0.00257,75.9,nan,11751.405,8256.467,17609.645,7793.4155,5932.162,10934.433
4687418906202781312,34389,17.104676784956673,-72.66805827380078,14.362535,4140,46,3,0,0.00386,0.00033,-74.2,nan,23985.047,19272.875,32815.062,14431.517,13362.666,15693.283
