source_id,ext,err_ext,quality_flags,mod_parallax,err_mod_parallax
3944219689421422208,0.021044793,0.0069826962,0,4.807268,0.01459008
3941754653071412096,0.01705225,0.008839448,0,0.8261992,0.016151495
3950281400104314752,0.016136702,0.009131917,0,4.431272,0.016956998
3947354603230430080,0.007925564,0.012326664,15,4.503856,0.019464685
3973310946025894400,0.04789366,0.015195273,2,1.6315728,0.038411018
3940477535955812224,0.024807973,0.0063343556,0,2.0070586,0.01685887
3940484888939827072,0.034890357,0.008665977,0,0.3631435,0.012086315
3943644473041445248,0.021247983,0.008505129,0,2.0121803,0.013330507
3943153227565962880,0.040685605,0.009119205,0,3.3601947,0.016540678
3926204363199140352,0.027886337,0.009019647,0,2.4245565,0.0151117435
3943577127954092416,0.024780976,0.008811617,0,2.4733856,0.016121699
3942279532434147840,0.01422106,0.006867993,0,3.488268,0.017326484
3943592108799973120,0.024103664,0.008887397,0,1.8401948,0.013722394
3954305853179854336,0.020684829,0.009637275,0,1.446849,0.01714463
3944161071707863936,0.037115946,0.0093126735,0,0.42904183,0.01515459
3950335344893535616,0.019937417,0.009252072,0,1.9528867,0.01483084
3954204972987975424,0.0069062,0.007937788,0,3.9406426,0.017074034
3947332990955068928,0.011757959,0.007506613,0,4.0518823,0.016836055
3972629077018036864,0.1484547,0.07319865,15,3.9322045,0.098789304
3943476728798598016,0.029416049,0.0072069596,0,3.8136625,0.01719561
3941704659652114432,0.02447733,0.008623276,0,0.64695704,0.020712787
3955085200765500416,0.036747374,0.0069139227,0,1.4932834,0.032815013
3944543873553057792,0.02576379,0.0062234905,0,1.4467189,0.020357912
3940511650880842496,0.03349994,0.008691198,0,1.7360064,0.023754384
3943279194662795648,0.037500527,0.008041349,0,3.9109395,0.019565525
3940418127968198656,0.034479786,0.009798998,0,2.0643404,0.014509673
3947243724354865280,0.018023247,0.009234266,0,0.546371,0.018608864
3925376701525135744,0.040731765,0.011068572,0,0.32382518,0.017063024
