Name,ra,dec,p_percent,sigma_p_percent,FilterID,sample,r_med_photogeo,distance_class,ebv,ebv_err,ipix
Mark_198,179.67728,16.81602,0.4408414036255211,0.07441245494378348,-1,RoboPol,,robopol,0.09974487,0.0034348576,28566811
Mark_200,179.17484,17.17295,0.2528549652423066,0.0613658971252169,-1,RoboPol,,robopol,0.11610545,0.0050158193,28567428
Mark_206,199.19226,21.83499,0.24489954793397808,0.04573665448254211,-1,RoboPol,,robopol,0.051720396,0.0011805872,28693800
Mark_207,188.71802,20.24956,0.2493973421665511,0.03644044172963441,-1,RoboPol,,robopol,0.061959956,0.0015632435,28733926
Mark_212,174.04788,16.17833,0.07163257246489838,0.126,-1,RoboPol,,robopol,0.12987182,0.0051867035,28904986
Mark_216,185.22177,18.36675,0.3272586313044174,0.03772871893748854,-1,RoboPol,,robopol,0.06252331,0.0017433967,28719590
Mark_217,195.918,21.60229,0.2891609455348424,0.06162146830877775,-1,RoboPol,,robopol,0.04374552,0.00080901943,28697055
Mark_219,178.69035,16.60255,0.17759554527689242,0.0797867877597749,-1,RoboPol,,robopol,0.11817489,0.004400542,28566369
Mark_221_merged,196.43092,21.19197,0.4495177859977437,0.03649576178317531,-1,RoboPol,,robopol,0.05016916,0.0012207064,28692003
Mark_222,193.55878,20.50641,0.2997920818270167,0.04780033173999058,-1,RoboPol,,robopol,0.0503991,0.0010980181,28686454
Mark_223,184.88745,18.07525,0.2829383693016757,0.030816597126965495,-1,RoboPol,,robopol,0.062733606,0.0018438674,28719335
Mark_225,197.23097,22.05471,0.24475993654056086,0.07963589481650761,-1,RoboPol,,robopol,0.047840167,0.001043111,28695232
Mark_230_merged,195.31955,20.94358,0.5459451037508639,0.04767856332583631,-1,RoboPol,,robopol,0.03575314,0.00026601198,28696705
Mark_233,184.23959,18.59977,0.08584138482779623,0.09005615489505844,-1,RoboPol,,robopol,0.052451987,0.0014539069,28741830
Mark_234,198.82893,21.44806,0.18812390213201677,0.04618145344515008,-1,RoboPol,,robopol,0.058814563,0.0017618538,28692854
Mark_236,189.40477,22.63134,0.19143407743182936,0.06265207345708103,-1,RoboPol,,robopol,0.06552439,0.0019412211,28782227
Mark_238,184.89882,17.43383,0.19563699368761386,0.10427883513394318,-1,RoboPol,,robopol,0.07630344,0.0026569827,28714981
Mark_240,184.3497,19.55028,0.23106284266932822,0.042362199592596725,-1,RoboPol,,robopol,0.05614281,0.001394233,28743354
Mark_242,197.9319,20.97835,0.21247308403093934,0.08547040289943059,-1,RoboPol,,robopol,0.039922774,0.0004698566,28689907
Mark_243,178.97321,16.09546,0.3988171377656713,0.06525063275220311,-1,RoboPol,,robopol,0.093429066,0.0033698443,28565766
Mark_245,179.55417,16.23754,0.8570510695948359,0.03624983794215322,-1,RoboPol,,robopol,0.09849182,0.0033775144,28560943
Mark_248,174.27348,15.68174,0.353099287781331,0.09048278942184493,-1,RoboPol,,robopol,0.19823043,0.008912071,28903762
Mark_256,178.80675,16.90822,0.4966788598634896,0.10182686658032594,-1,RoboPol,,robopol,0.11368324,0.0046169525,28567175
Mark_259,185.06711,18.59069,0.5043079373761118,0.06981706747009318,-1,RoboPol,,robopol,0.06279118,0.0017062929,28719992
Mark_261,173.92517,16.22557,0.1652317639177208,0.12116329498167853,-1,RoboPol,,robopol,0.13118319,0.005136021,28905006
Mark_263_merged,197.93994,21.26627,0.058711509780383773,0.029166963583922862,-1,RoboPol,,robopol,0.055854436,0.00162473,28693041
Mark_264,172.38141,16.22388,0.37214935370864916,0.1371629510137116,-1,RoboPol,,robopol,0.13849694,0.005138582,28866525
Mark_269,185.14743,18.55286,0.6043164968425574,0.07948226040645007,-1,RoboPol,,robopol,0.064465195,0.0018284797,28719963
Mark_272,185.61534,18.53669,0.27583859570667557,0.06501321603040387,-1,RoboPol,,robopol,0.07410641,0.002205224,28720320
Mark_273,174.25673,15.47786,0.2365785525398172,0.06503837025164148,-1,RoboPol,,robopol,0.1599171,0.007001232,28902325
Mark_274,179.92549,17.12649,0.4318896658513691,0.05826220986237543,-1,RoboPol,,robopol,0.09874628,0.0033583865,28569644
Mark_275,184.08626,18.35714,0.1466686436926148,0.07275594124922719,-1,RoboPol,,robopol,0.048658185,0.001339983,28741672
Mark_276,185.66374,18.43422,0.31366080807885804,0.04000376681404693,-1,RoboPol,,robopol,0.06812429,0.0019238752,28720180
Mark_277,178.80257,16.72225,0.24093384994598002,0.06695780171613899,-1,RoboPol,,robopol,0.122228876,0.0051749544,28566390
Mark_281,196.00069,21.20325,0.29903391368060167,0.09604178271706319,-1,RoboPol,,robopol,0.042906046,0.00073236215,28691391
Mark_282,191.05409,21.70998,0.3671120326190024,0.08601796370420285,-1,RoboPol,,robopol,0.040780406,0.00042961212,28774309
Mark_284,199.64702,20.95893,0.26328758338738745,0.09220875736947287,-1,RoboPol,,robopol,0.04702163,0.0009921336,28671032
Mark_285,193.8681,21.30298,0.2859042510616273,0.07758945543028038,-1,RoboPol,,robopol,0.0501137,0.0010531356,28687945
Mark_289,196.73454,21.68843,0.2189435871870294,0.09044157726998445,-1,RoboPol,,robopol,0.043536212,0.00069422834,28692376
Mark_290,192.14723,19.79486,0.22035638111543115,0.05699145861838234,-1,RoboPol,,robopol,0.06970771,0.0017836717,28683098
Mark_294,185.26663,19.91669,0.15215988858819327,0.07841535070114401,-1,RoboPol,,robopol,0.064129345,0.001386905,28754447
Mark_295,185.76147,19.00018,0.2997606942569393,0.04197616721055488,-1,RoboPol,,robopol,0.078443885,0.002294901,28720917
Mark_297,199.78589,21.63083,0.08300105179997722,0.0929904969908008,-1,RoboPol,,robopol,0.0421225,0.00076291396,28671818
Mark_298,185.86821,20.17248,0.25083369581948445,0.030903513543305505,-1,RoboPol,,robopol,0.0601319,0.0012795909,28754357
