# Star   JD           PD[%]   sPD  EPVA[deg] sEVPA     q       sq        u       su
Mark_17         2460459.38146     0.21   0.14   77.53   26.44 -0.00195  0.00144  0.00091  0.00141
Mark_17         2460459.38168     0.28   0.14   61.41   17.53 -0.00151  0.00143  0.00234  0.00140
Mark_18         2460426.42836     0.49   0.14   30.89    8.53  0.00229  0.00139  0.00428  0.00136
Mark_18         2460426.42854     0.31   0.14   38.11   14.35  0.00074  0.00138  0.00302  0.00135
Mark_18         2460426.42874     0.55   0.14   41.60    7.39  0.00066  0.00139  0.00550  0.00137
Mark_18         2460426.42892     0.45   0.14   48.59    9.28 -0.00056  0.00140  0.00448  0.00137
Mark_18         2460426.42911     0.12   0.14   52.62   61.44 -0.00032  0.00140  0.00117  0.00138
Mark_18         2460426.42929     0.25   0.14   49.05   19.50 -0.00035  0.00139  0.00249  0.00137
Mark_18         2460426.42948     0.31   0.14   63.40   14.45 -0.00188  0.00140  0.00252  0.00136
Mark_18         2460426.42966     0.57   0.14   70.56    7.42 -0.00442  0.00142  0.00356  0.00139
Mark_19         2460426.43072     0.13   0.14  -79.51   61.44 -0.00124  0.00138 -0.00048  0.00136
Mark_19         2460426.43091     0.45   0.14   51.88    9.07 -0.00108  0.00138  0.00442  0.00135
Mark_19         2460426.43111     0.18   0.14   75.06   61.44 -0.00157  0.00140  0.00090  0.00137
Mark_19         2460426.43131     0.50   0.14   72.62    8.33 -0.00415  0.00140  0.00288  0.00137
Mark_19         2460426.43150     0.49   0.14   41.87    8.47  0.00053  0.00140  0.00487  0.00137
Mark_19         2460426.43170     0.36   0.14   34.10   12.28  0.00134  0.00141  0.00334  0.00138
Mark_19         2460426.43190     0.40   0.14   38.98   10.51  0.00084  0.00138  0.00394  0.00136
Mark_19         2460426.43209     0.53   0.14   49.99    7.72 -0.00091  0.00138  0.00517  0.00135
Mark_20         2460459.38328     0.32   0.17   37.73   18.02  0.00080  0.00170  0.00310  0.00165
Mark_20         2460459.38351     0.14   0.17  -17.55   61.44  0.00117  0.00170 -0.00082  0.00166
Mark_20         2460459.38374     0.23   0.16   42.57   61.44  0.00020  0.00169  0.00230  0.00164
Mark_20         2460459.38397     0.28   0.17   59.59   22.75 -0.00134  0.00170  0.00241  0.00166
Mark_20         2460459.38420     0.25   0.17   24.44   27.03  0.00162  0.00169  0.00185  0.00165
Mark_20         2460459.38443     0.35   0.17   64.43   16.18 -0.00221  0.00171  0.00275  0.00166
Mark_20         2460459.38466     0.14   0.17   71.90   61.44 -0.00115  0.00170  0.00084  0.00165
Mark_20         2460459.38503     0.16   0.17   67.47   61.44 -0.00115  0.00170  0.00115  0.00165
Mark_21         2460460.41800     0.52   0.14   67.16    7.75 -0.00366  0.00137  0.00374  0.00133
Mark_21         2460460.41815     0.12   0.13   69.89   61.44 -0.00093  0.00136  0.00079  0.00133
Mark_21         2460460.41838     0.54   0.13   62.79    7.29 -0.00315  0.00134  0.00440  0.00131
Mark_21         2460460.41854     0.27   0.13   67.04   16.75 -0.00189  0.00135  0.00196  0.00131
Mark_21         2460460.41869     0.45   0.13   64.68    8.98 -0.00287  0.00136  0.00349  0.00131
Mark_21         2460460.41885     0.75   0.13   49.85    5.15 -0.00127  0.00136  0.00741  0.00132
Mark_21         2460460.41900     0.36   0.13   56.51   11.56 -0.00141  0.00134  0.00333  0.00132
Mark_21         2460460.41917     0.57   0.13   43.74    6.92  0.00025  0.00137  0.00571  0.00133
Mark_29         2460426.34110     0.61   0.20   50.00   10.46 -0.00106  0.00210  0.00598  0.00204
Mark_29         2460426.34125     0.47   0.21   79.71   15.05 -0.00443  0.00214  0.00166  0.00208
Mark_29         2460426.34140     0.38   0.20   60.31   18.67 -0.00195  0.00206  0.00329  0.00201
Mark_29         2460426.34155     0.81   0.21   49.82    7.86 -0.00136  0.00214  0.00800  0.00212
Mark_29         2460426.34170     0.53   0.21   36.81   12.90  0.00149  0.00214  0.00507  0.00211
Mark_29         2460426.34185     0.52   0.20   48.61   12.44 -0.00066  0.00210  0.00519  0.00203
Mark_29         2460426.34200     0.43   0.20   61.83   16.24 -0.00237  0.00206  0.00356  0.00204
Mark_29         2460426.34215     0.14   0.20   49.48   61.44 -0.00023  0.00210  0.00143  0.00204
Mark_29         2460426.34230     0.14   0.20  -48.04   61.44 -0.00015  0.00207 -0.00136  0.00202
Mark_29         2460426.33890     0.57   0.13   35.59    6.68  0.00182  0.00129  0.00535  0.00127
Mark_29         2460426.33910     0.78   0.13   32.85    4.72  0.00321  0.00128  0.00712  0.00126
Mark_29         2460426.33929     0.82   0.13   77.36    4.78 -0.00744  0.00135  0.00351  0.00133
Mark_29         2460426.33949     1.29   0.13   42.77    2.99  0.00101  0.00136  0.01289  0.00134
Mark_29         2460426.33969     0.73   0.13   49.73    4.98 -0.00121  0.00128  0.00725  0.00125
Mark_29         2460426.33988     0.58   0.12   27.87    6.36  0.00326  0.00126  0.00479  0.00124
Mark_29         2460426.34008     0.99   0.12   11.19    3.66  0.00912  0.00125  0.00376  0.00125
Mark_29         2460426.34028     1.65   0.13   44.40    2.21  0.00035  0.00130  0.01655  0.00127
Mark_29         2460426.34047     0.88   0.12   35.91    4.11  0.00274  0.00127  0.00834  0.00124
Mark_30         2460432.37774     0.32   0.34   81.32   61.44 -0.00307  0.00336  0.00096  0.00330
Mark_30         2460432.37815     0.66   0.25   47.02   11.86 -0.00047  0.00252  0.00660  0.00247
Mark_30         2460432.37855     0.82   0.28    2.08   10.68  0.00818  0.00281  0.00060  0.00276
Mark_30         2460432.37896     0.71   0.22   25.77    9.40  0.00443  0.00222  0.00558  0.00217
Mark_30         2460432.37936     0.43   0.21   26.84   16.39  0.00254  0.00209  0.00345  0.00205
Mark_30         2460432.37977     0.50   0.21   13.21   13.94  0.00445  0.00212  0.00221  0.00208
Mark_30         2460432.38017     0.63   0.29    7.13   15.36  0.00606  0.00287  0.00154  0.00281
Mark_30         2460432.38058     1.02   0.45   14.97   14.73  0.00880  0.00452  0.00507  0.00447
Mark_30         2460432.38098     0.36   0.19   37.23   18.32  0.00096  0.00190  0.00346  0.00187
Mark_30         2460432.38144     0.54   0.18    5.89   10.14  0.00525  0.00176  0.00110  0.00173
Mark_30         2460432.38184     0.07   0.19  -17.05   61.44  0.00057  0.00190 -0.00039  0.00185
Mark_30         2460432.38225     0.32   0.32   45.61   61.44 -0.00007  0.00321  0.00319  0.00316
Mark_33         2460461.41657     0.31   0.19   -0.62   23.53  0.00315  0.00195 -0.00007  0.00190
Mark_33         2460461.41692     0.42   0.19   -1.60   15.62  0.00417  0.00194 -0.00023  0.00190
Mark_33         2460461.41727     0.42   0.19   12.32   15.68  0.00379  0.00195  0.00174  0.00191
Mark_33         2460461.41762     0.51   0.23   31.60   15.36  0.00230  0.00239  0.00456  0.00233
Mark_33         2460461.41797     0.55   0.26   57.21   16.36 -0.00227  0.00270  0.00499  0.00262
Mark_33         2460461.41832     0.14   0.19  -19.67   61.44  0.00110  0.00196 -0.00090  0.00192
Mark_33         2460461.41867     0.27   0.20    3.25   61.44  0.00265  0.00197  0.00030  0.00192
Mark_33         2460461.41902     0.11   0.20   17.32   61.44  0.00094  0.00198  0.00065  0.00192
Mark_34         2460426.34749     0.38   0.12   89.24    9.79 -0.00377  0.00120  0.00010  0.00118
Mark_34         2460426.34765     0.30   0.12   49.15   12.79 -0.00043  0.00120  0.00294  0.00118
Mark_34         2460426.34781     0.51   0.12   54.13    6.94 -0.00160  0.00121  0.00485  0.00119
Mark_34         2460426.34797     0.39   0.12   56.79    9.21 -0.00157  0.00120  0.00360  0.00118
Mark_34         2460426.34814     0.32   0.12   61.22   11.95 -0.00169  0.00120  0.00266  0.00118
Mark_34         2460426.34830     0.55   0.12   44.53    6.43  0.00009  0.00121  0.00547  0.00119
Mark_34         2460426.34846     0.37   0.12   48.58    9.90 -0.00047  0.00122  0.00371  0.00120
Mark_34         2460426.34862     0.19   0.12   54.66   23.52 -0.00064  0.00121  0.00182  0.00119
Mark_35         2460438.30932     0.69   0.22   26.45   10.01  0.00417  0.00228  0.00551  0.00222
Mark_35         2460438.30961     0.71   0.22   31.27    9.61  0.00326  0.00226  0.00628  0.00220
Mark_35         2460438.30990     0.33   0.22   16.48   27.42  0.00273  0.00224  0.00177  0.00219
Mark_35         2460438.31019     0.34   0.22   25.71   25.30  0.00213  0.00225  0.00267  0.00220
Mark_35         2460438.31047     0.33   0.22   33.99   26.36  0.00123  0.00223  0.00304  0.00218
Mark_35         2460438.31076     0.67   0.22   49.59   10.03 -0.00107  0.00224  0.00661  0.00217
Mark_35         2460438.31105     0.66   0.22   59.37   10.19 -0.00319  0.00222  0.00582  0.00217
Mark_35         2460438.31134     0.77   0.22   15.30    8.73  0.00660  0.00222  0.00390  0.00216
Mark_35         2460438.31163     0.27   0.22   57.54   61.44 -0.00115  0.00222  0.00246  0.00215
Mark_36         2460459.36552     0.54   0.21   54.34   12.64 -0.00172  0.00217  0.00507  0.00210
Mark_36         2460459.36589     0.30   0.21   63.02   28.78 -0.00178  0.00217  0.00245  0.00211
