GID,starID,RA,DEC,l,b,origin
3954847912411842688,6940,192.4581280123384,21.64084734215838,299.0363421600204,84.50044782448948,external_panopoulou_2025
3954879832609313792,11530,193.52082387459296,21.735052367565057,309.4416791472848,84.57333176487063,external_panopoulou_2025
3955013182753923840,6939,191.9626130292332,21.63659745764265,294.28261420380346,84.44799778217828,external_panopoulou_2025
3955257343054729984,7001,192.57256401209543,22.863119489578537,299.381499785132,85.72695322014594,external_panopoulou_2025
3955307027237538560,6906,189.780085588556,21.062518514831567,277.42217510514826,83.31545494705558,external_panopoulou_2025
3955644886544145024,6952,188.78412717134947,21.88129422630378,266.8141159786105,83.5761977785214,external_panopoulou_2025
3955790468755645440,6990,189.758867313479,22.659412701252656,270.0809917059901,84.7204249519609,external_panopoulou_2025
3956984087415933440,7046,195.6274036759952,23.499534899885933,338.12157415694355,85.59266439180321,external_panopoulou_2025
3957822950359491840,7099,191.9972026469849,24.09561934087493,288.36307452764544,86.86931203874937,external_panopoulou_2025
3958524541856989952,10596,194.0216691594018,26.0219560053515,346.40771825505567,88.48204519778726,external_panopoulou_2025
3958719258494268288,6987,188.7125201348698,22.629307200604952,262.13593962460794,84.13646950196184,external_panopoulou_2025
3959201359982704768,7115,188.69020987760555,24.22419436696664,249.711616431509,85.2516652801057,external_panopoulou_2025
3959212286380277632,7124,188.39252210704848,24.28294418702869,247.2036271148759,85.07168751090087,external_panopoulou_2025
3959853576537169536,7103,187.36258815879484,24.108927749508783,243.06820661364256,84.1974049742895,external_panopoulou_2025
3959914084036392832,7116,186.89484690135976,24.2273498668169,239.96732074861302,83.89288267599127,external_panopoulou_2025
3959940781553194240,10452,187.90594888811864,24.21709186822164,244.94578022024746,84.67108483301503,external_panopoulou_2025
3959965486205062528,7162,187.75227445791788,24.56712552519047,240.92698558608268,84.73917159128312,external_panopoulou_2025
3960386392999869568,7247,188.43077002714344,25.175830807091582,238.10026206179066,85.57156489841688,external_panopoulou_2025
3961239132987142016,7315,190.8981781150965,25.780446095905727,250.00054479926334,87.78650300491599,external_panopoulou_2025
3967421686869541632,28403,170.723797907288,15.53262790664516,237.845491010309,66.40376359014421,external_panopoulou_2025
3972411339355935360,28434,174.4908392926814,15.776898606782666,242.84415887948296,69.52105694380234,external_panopoulou_2025
3973002807892080512,11508,176.26619538096028,17.159900981309654,242.52436720831506,71.71191480275355,external_panopoulou_2025
3973470065974214784,6670,173.6770032009834,16.79691467702758,239.17892562738933,69.46866119067138,external_panopoulou_2025
3975181868140265216,10454,179.85119464322702,19.55735460843506,242.57960058409876,75.8739069970768,external_panopoulou_2025
